Team,3P,3PA,2P,2PA,ORB,DRB,TRB,SEASON
San Antonio Spurs*,716,2046,2298,4472,669,2489,3158,2020-21 
San Antonio Spurs*,760,2021,2235,4329,640,2530,3170,2019-20
San Antonio Spurs*,812,2071,2656,5177,757,2910,3667,2018-19
Toronto Raptors*,1041,2831,1818,3552,680,2314,2994,2020-21 
Toronto Raptors*,995,2663,1902,3668,685,2583,3268,2019-20
Toronto Raptors*,1015,2771,2445,4534,786,2920,3706,2018-19
Utah Jazz*,1205,3098,1766,3246,765,2709,3474,2020-21 
Utah Jazz*,963,2537,1923,3593,656,2577,3233,2019-20
Utah Jazz*,993,2789,2321,4293,820,2981,3801,2018-19
Washington Wizards*,864,2345,2126,4199,732,2295,3027,2019-20
Washington Wizards*,930,2731,2526,4656,794,2679,3473,2018-19
Washington Wizards*,733,2088,2375,4459,697,2557,3254,2020-21 
